,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
299,GJ Whittall,1993-2002,46,82,7,2207,203*,29.42,4,10,6,,ZIM
300,R Benaud,1952-1964,63,97,7,2201,122,24.45,3,9,8,,AUS
301,DJ Bravo,2004-2010,40,71,1,2200,113,31.42,3,13,6,,WI
302,VS Hazare,1946-1953,30,52,6,2192,164*,47.65,7,9,4,,IND
303,GA Headley,1930-1954,22,40,4,2190,270*,60.83,10,5,2,,WI
304,D Ganga,1998-2008,48,86,2,2160,135,25.71,3,9,9,,WI
305,JB Stollmeyer,1939-1955,32,56,5,2159,160,42.33,4,12,2,,WI
306,CG Macartney,1907-1926,35,55,4,2131,170,41.78,7,9,1,,AUS
307,HAPW Jayawardene,2000-2015,58,83,11,2124,154*,29.50,4,5,9,,SL
308,WH Ponsford,1924-1934,29,48,4,2122,266,48.22,7,6,1,,AUS
309,RA McLean,1951-1964,40,73,3,2120,142,30.28,5,10,11,,SA
310,KOA Powell,2011-2021,44,83,1,2113,134,25.76,3,7,8,,WI
311,AL Wadekar,1966-1974,37,71,3,2113,143,31.07,1,14,7,,IND
312,MH Mankad,1946-1959,44,72,5,2109,231,31.47,5,6,7,,IND
313,JP Duminy,2008-2017,46,74,10,2103,166,32.85,6,8,9,,SA
314,JK Silva,2011-2018,39,74,0,2099,139,28.36,3,12,6,,SL
315,AN Petersen,2010-2015,36,64,4,2093,182,34.88,5,8,3,,SA
316,HDRL Thirimanne,2011-2022,44,85,6,2088,155*,26.43,3,10,11,,SL
317,CPS Chauhan,1969-1981,40,68,2,2084,97,31.57,0,16,6,,IND
318,Imtiaz Ahmed,1952-1962,41,72,1,2079,209,29.28,3,11,9,,PAK
319,MG Johnson,2007-2015,73,109,16,2065,123*,22.20,1,11,19,,AUS
320,TG Southee,2008-2024,98,139,11,2064,77*,16.12,0,6,18,,NZ
321,K Srikkanth,1981-1992,43,72,3,2062,123,29.88,2,12,7,,IND
322,RM Cowper,1964-1968,27,46,2,2061,307,46.84,5,10,3,,AUS
323,PE Richardson,1956-1963,34,56,1,2061,126,37.47,5,9,1,,ENG
324,ML Jaisimha,1959-1971,39,71,4,2056,129,30.68,3,12,9,,IND
325,LG Rowe,1972-1980,30,49,2,2047,302,43.55,7,7,2,,WI
326,MA Starc,2011-2024,87,125,27,2044,99,20.85,0,10,13,,AUS
327,SV Manjrekar,1987-1996,37,61,6,2043,218,37.14,4,9,3,,IND
328,BA Young,1993-1999,35,68,4,2034,267*,31.78,2,12,5,,NZ
329,MJ Greatbatch,1988-1996,41,71,5,2021,146*,30.62,3,10,9,,NZ
