,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
1688,AD Mullally,1996-2001,19,27,4,127,24,5.52,0,0,12,,ENG
1689,AY Patel,2018-2023,16,22,11,127,35,11.54,0,0,1,,NZ
1690,PJR Steyn,1995-1995,3,6,0,127,46,21.16,0,0,0,,SA
1691,ES Atkinson,1958-1959,8,9,1,126,37,15.75,0,0,3,,WI
1692,NE Haig,1921-1930,5,9,0,126,47,14.00,0,0,2,,ENG
1693,JT Hearne,1892-1899,12,18,4,126,40,9.00,0,0,3,,ENG
1694,E Jones,1894-1902,19,26,1,126,20,5.04,0,0,5,,AUS
1695,DL Bairstow,1979-1981,4,7,1,125,59,20.83,0,1,1,,ENG
1696,JB Commins,1994-1995,3,6,1,125,45,25.00,0,0,1,,SA
1697,Marshall Ayub,2013-2014,3,6,0,125,41,20.83,0,0,0,,BAN
1698,WFE Marx,1921-1921,3,6,0,125,36,20.83,0,0,1,,SA
1699,Nazimuddin,2011-2012,3,6,0,125,78,20.83,0,1,2,,BAN
1700,DM Richards,2009-2010,3,6,0,125,69,20.83,0,1,1,,WI
1701,CW Wright,1896-1896,3,4,0,125,71,31.25,0,1,0,,ENG
1702,HMCM Bandara,1998-2006,8,11,3,124,43,15.50,0,0,2,,SL
1703,DA Reeve,1992-1992,3,5,0,124,59,24.80,0,1,1,,ENG
1704,RJ Crisp,1935-1936,9,13,1,123,35,10.25,0,0,5,,SA
1705,IB Cromb,1931-1932,5,8,2,123,51*,20.50,0,1,1,,NZ
1706,Manzoor Elahi,1984-1995,6,10,2,123,52,15.37,0,1,3,,PAK
1707,CS Martin,2000-2013,71,104,52,123,12*,2.36,0,0,36,,NZ
1708,BA Murphy,2000-2001,11,15,3,123,30,10.25,0,0,3,,ZIM
1709,Pervez Sajjad,1964-1973,19,20,11,123,24,13.66,0,0,2,,PAK
1710,CAK Rajitha,2018-2024,17,22,3,123,22,6.47,0,0,6,,SL
1711,AB Fudadin,2012-2012,3,5,1,122,55,30.50,0,1,0,,WI
1712,Junaid Khan,2011-2015,22,28,11,122,17,7.17,0,0,5,,PAK
1713,Mohammad Sharif,2001-2007,10,20,3,122,24*,7.17,0,0,7,,BAN
1714,T Murphy,2023-2023,6,10,1,122,41,13.55,0,0,3,,AUS
1715,AH Omarshah,1992-1996,3,5,0,122,62,24.40,0,1,0,,ZIM
1716,EA Brandes,1992-1999,10,15,3,121,39,10.08,0,0,2,,ZIM
1717,JG Dewes,1948-1950,5,10,0,121,67,12.10,0,1,1,,ENG
1718,TW Wall,1929-1934,18,24,5,121,20,6.36,0,0,5,,AUS
1719,A Mithun,2010-2011,4,5,0,120,46,24.00,0,0,1,,IND
1720,K Zondo,2022-2023,5,7,1,120,39,20.00,0,0,1,,SA
1721,RJ Bailey,1988-1990,4,8,0,119,43,14.87,0,0,2,,ENG
1722,MAR Samarasekera,1988-1991,4,7,0,118,57,16.85,0,1,1,,SL
1723,AC Smith,1962-1963,6,7,3,118,69*,29.50,0,1,0,,ENG
1724,BGK Walker,2000-2002,5,8,2,118,27*,19.66,0,0,1,,NZ
1725,SI de Saram,1999-2000,4,5,0,117,39,23.40,0,0,0,,SL
1726,Salahuddin,1965-1969,5,8,2,117,34*,19.50,0,0,0,,PAK
1727,PADLR Sandakan,2016-2018,11,17,6,117,25,10.63,0,0,0,,SL
1728,WH St Hill,1928-1930,3,6,0,117,38,19.50,0,0,0,,WI
1729,FJ Cameron,1961-1965,19,30,20,116,27*,11.60,0,0,4,,NZ
1730,W Farrimond,1931-1935,4,7,0,116,35,16.57,0,0,0,,ENG
1731,FM King,1953-1956,14,17,3,116,21,8.28,0,0,4,,WI
1732,EA McDonald,1921-1921,11,12,5,116,36,16.57,0,0,1,,AUS
1733,F Mitchell,1899-1912,5,10,0,116,41,11.60,0,0,1,,ENG/SA
1734,RP Singh,2006-2011,14,19,3,116,30,7.25,0,0,7,,IND
1735,DH Brain,1992-1995,9,13,2,115,28,10.45,0,0,4,,ZIM
1736,KAR Hodge,2024-2024,2,4,0,115,71,28.75,0,1,0,,WI
1737,PJ Martin,1995-1997,8,13,0,115,29,8.84,0,0,2,,ENG
1738,H Morris,1991-1991,3,6,0,115,44,19.16,0,0,0,,ENG
1739,WER Somerville,2018-2021,6,10,2,115,40*,14.37,0,0,2,,NZ
1740,GR Beard,1980-1980,3,5,0,114,49,22.80,0,0,0,,AUS
1741,ML Cummins,2016-2019,14,22,7,114,24*,7.60,0,0,6,,WI
1742,RKJ Dawson,2001-2003,7,13,3,114,19*,11.40,0,0,0,,ENG
1743,JJ Ferris,1887-1892,9,17,4,114,20*,8.76,0,0,1,,AUS/ENG
1744,RE Grieveson,1939-1939,2,2,0,114,75,57.00,0,1,0,,SA
1745,GPD Hartigan,1912-1914,5,10,0,114,51,11.40,0,1,3,,SA
1746,TW Hartley,2024-2024,2,4,0,114,36,28.50,0,0,0,,ENG
1747,ERT Holmes,1935-1935,5,9,2,114,85*,16.28,0,1,2,,ENG
1748,AR Whittall,1996-1999,10,18,3,114,17,7.60,0,0,1,,ZIM
1749,CFW Allcott,1930-1932,6,7,2,113,33,22.60,0,0,0,,NZ
1750,S Haigh,1899-1912,11,18,3,113,25,7.53,0,0,4,,ENG
1751,Javed Ahmadi,2018-2021,3,6,0,113,62,18.83,0,1,0,,AFG
1752,HG Kuhn,2017-2017,4,8,0,113,34,14.12,0,0,0,,SA
1753,D Shackleton,1950-1963,7,13,7,113,42,18.83,0,0,0,,ENG
1754,EJ Smith,1911-1913,11,14,1,113,22,8.69,0,0,2,,ENG
1755,CT Tremlett,2007-2013,12,15,4,113,25*,10.27,0,0,3,,ENG
1756,EAV Williams,1939-1948,4,6,0,113,72,18.83,0,1,1,,WI
1757,ERNS Fernando,1983-1984,5,10,0,112,46,11.20,0,0,3,,SL
1758,AG Ganteaume,1948-1948,1,1,0,112,112,112.00,1,0,0,,WI
1759,GG Macaulay,1923-1933,8,10,4,112,76,18.66,0,1,1,,ENG
1760,GB Stevens,1959-1960,4,7,0,112,28,16.00,0,0,0,,AUS
1761,MR Bynoe,1959-1967,4,6,0,111,48,18.50,0,0,0,,WI
1762,JD Higgs,1978-1981,22,36,16,111,16,5.55,0,0,5,,AUS
1763,HS Kanitkar,1974-1974,2,4,0,111,65,27.75,0,1,0,,IND
1764,FL Reifer,1997-2009,6,12,0,111,29,9.25,0,0,3,,WI
1765,A Shaw,1877-1882,7,12,1,111,40,10.09,0,0,1,,ENG
1766,M Shumba,2021-2023,4,8,0,111,41,13.87,0,0,0,,ZIM
1767,Ihsanullah,2019-2019,3,6,1,110,65*,22.00,0,1,0,,AFG
1768,Mohammad Abbas,2017-2021,25,36,16,110,29,5.50,0,0,5,,PAK
1769,PJ Newport,1988-1991,3,5,1,110,40*,27.50,0,0,1,,ENG
1770,GE Vivian,1965-1972,5,6,0,110,43,18.33,0,0,1,,NZ
1771,TJ Murtagh,2018-2019,3,6,2,109,54*,27.25,0,1,0,,IRE
1772,SD Udal,2005-2006,4,7,1,109,33*,18.16,0,0,1,,ENG
1773,Yajurvindra Singh,1977-1979,4,7,1,109,43*,18.16,0,0,0,,IND
1774,JH Board,1899-1906,6,12,2,108,29,10.80,0,0,3,,ENG
1775,CG Butts,1985-1988,7,8,1,108,38,15.42,0,0,1,,WI
1776,GM Ewing,2003-2005,3,6,0,108,71,18.00,0,1,2,,ZIM
1777,Naoomal Jaoomal,1932-1934,3,5,1,108,43,27.00,0,0,0,,IND
1778,DA Stirling,1984-1986,6,9,2,108,26,15.42,0,0,0,,NZ
1779,SJ Cook,1992-1993,3,6,0,107,43,17.83,0,0,1,,SA
1780,CB Jennings,1912-1912,6,8,2,107,32,17.83,0,0,2,,AUS
1781,AB McDonald,2009-2009,4,6,1,107,68,21.40,0,1,1,,AUS
1782,AH McKinnon,1960-1967,8,13,7,107,27,17.83,0,0,0,,SA
1783,P Utseya,2004-2013,4,8,1,107,45,15.28,0,0,2,,ZIM
1784,EW Dempster,1953-1954,5,8,2,106,47,17.66,0,0,2,,NZ
1785,MVT Fernando,2016-2024,21,28,15,106,38,8.15,0,0,10,,SL
1786,PHT Kaushal,2014-2015,7,12,2,106,18,10.60,0,0,1,,SL
1787,CFH Leslie,1882-1883,4,7,0,106,54,15.14,0,1,1,,ENG
1788,LS Pascoe,1977-1982,14,19,9,106,30*,10.60,0,0,3,,AUS
1789,MSK Prasad,1999-2000,6,10,1,106,19,11.77,0,0,0,,IND
1790,D Ramnarine,1998-2002,12,21,4,106,35*,6.23,0,0,8,,WI
1791,Rashid Khan,2018-2021,5,7,0,106,51,15.14,0,1,0,,AFG
1792,CJE Smith,1902-1902,3,6,1,106,45,21.20,0,0,0,,SA
1793,WJ Watson,1955-1955,4,7,1,106,30,17.66,0,0,1,,AUS
1794,GE Bradburn,1990-2001,7,10,2,105,30*,13.12,0,0,1,,NZ
1795,CB Mpofu,2005-2017,15,28,10,105,33,5.83,0,0,9,,ZIM
1796,S Muthusamy,2019-2023,3,6,2,105,49*,26.25,0,0,0,,SA
1797,LS Rajput,1985-1985,2,4,0,105,61,26.25,0,1,1,,IND
1798,GHT Simpson-Hayward,1910-1910,5,8,1,105,29*,15.00,0,0,1,,ENG
1799,CJ Adams,1999-2000,5,8,0,104,31,13.00,0,0,0,,ENG
1800,PVD Chameera,2015-2021,12,21,2,104,22,5.47,0,0,5,,SL
1801,H Klaasen,2019-2023,4,8,0,104,35,13.00,0,0,0,,SA
1802,GFJ Liebenberg,1998-1998,5,8,0,104,45,13.00,0,0,2,,SA
1803,KR Rickards,1948-1952,2,3,0,104,67,34.66,0,1,0,,WI
1804,M Bisset,1899-1910,3,6,2,103,35,25.75,0,0,0,,SA
1805,JW Hitch,1911-1921,7,10,3,103,51*,14.71,0,1,1,,ENG
1806,SB O'Connor,1997-2001,19,27,9,103,20,5.72,0,0,4,,NZ
1807,AG Hurst,1974-1979,12,20,3,102,26,6.00,0,0,10,,AUS
1808,Kuldeep Yadav,2017-2024,9,11,1,102,40,10.20,0,0,4,,IND
1809,R Lamba,1986-1987,4,5,0,102,53,20.40,0,1,1,,IND
1810,B Muzarabani,2017-2021,6,11,4,102,30*,14.57,0,0,1,,ZIM
1811,Naseem Shah,2019-2023,17,22,8,102,18,7.28,0,0,3,,PAK
1812,RM Prideaux,1968-1969,3,6,1,102,64,20.40,0,1,0,,ENG
1813,PM Pushpakumara,2017-2018,4,8,2,102,42*,17.00,0,0,0,,SL
1814,CIJ Smith,1935-1937,5,10,0,102,27,10.20,0,0,2,,ENG
1815,Aaqib Javed,1989-1998,22,27,7,101,28*,5.05,0,0,8,,PAK
1816,DD Beard,1952-1956,4,7,2,101,31,20.20,0,0,0,,NZ
1817,G Challenor,1928-1928,3,6,0,101,46,16.83,0,0,2,,WI
1818,SK Coen,1927-1928,2,4,2,101,41*,50.50,0,0,0,,SA
1819,CS Cowdrey,1984-1988,6,8,1,101,38,14.42,0,0,1,,ENG
1820,A Hill,1877-1877,2,4,2,101,49,50.50,0,0,1,,ENG
1821,KA Hope,2017-2017,5,9,0,101,43,11.22,0,0,2,,WI
1822,Mohammed Siraj,2020-2024,24,33,12,101,16*,4.80,0,0,8,,IND
1823,Anamul Haque,2013-2022,5,10,0,100,23,10.00,0,0,1,,BAN
1824,TA Harris,1947-1949,3,5,1,100,60,25.00,0,1,0,,SA
1825,Khan Mohammad,1952-1958,13,17,7,100,26*,10.00,0,0,3,,PAK
1826,RD Robinson,1977-1977,3,6,0,100,34,16.66,0,0,0,,AUS
1827,HA Furlonge,1955-1956,3,5,0,99,64,19.80,0,1,1,,WI
1828,Maninder Singh,1982-1993,35,38,12,99,15,3.80,0,0,11,,IND
1829,MN Nawaz,2002-2002,1,2,1,99,78*,99.00,0,1,0,,SL
1830,N Oldfield,1939-1939,1,2,0,99,80,49.50,0,1,0,,ENG
1831,Robiul Islam,2010-2014,9,17,6,99,33,9.00,0,0,6,,BAN
1832,Shafiq Ahmed,1974-1981,6,10,1,99,27*,11.00,0,0,3,,PAK
1833,Shahriar Hossain,2000-2004,3,5,0,99,48,19.80,0,0,0,,BAN
1834,Umar Amin,2010-2010,4,8,0,99,33,12.37,0,0,1,,PAK
1835,TD Astle,2012-2020,5,6,1,98,35,19.60,0,0,1,,NZ
1836,RK Chauhan,1993-1998,21,17,3,98,23,7.00,0,0,1,,IND
1837,CM Christiani,1935-1935,4,7,2,98,32*,19.60,0,0,1,,WI
1838,WM Clark,1977-1979,10,19,2,98,33,5.76,0,0,8,,AUS
1839,AC Cummins,1993-1994,5,6,1,98,50,19.60,0,1,1,,WI
1840,R de Swardt,2024-2024,2,3,1,98,64,49.00,0,1,1,,SA
1841,GH Dockrell,2019-2023,2,4,0,98,39,24.50,0,0,0,,IRE
1842,ELG Hoad,1928-1933,4,8,0,98,36,12.25,0,0,1,,WI
1843,IAR Peebles,1927-1931,13,17,8,98,26,10.88,0,0,3,,ENG
1844,Aftab Baloch,1969-1975,2,3,1,97,60*,48.50,0,1,0,,PAK
1845,Hasibul Hossain,2000-2001,5,10,1,97,31,10.77,0,0,2,,BAN
1846,AR Kapoor,1994-1996,4,6,1,97,42,19.40,0,0,0,,IND
1847,L Ngidi,2018-2024,18,29,10,97,19,5.10,0,0,7,,SA
1848,J Overton,2022-2022,1,1,0,97,97,97.00,0,1,0,,ENG
1849,GAE Paine,1935-1935,4,7,1,97,49,16.16,0,0,1,,ENG
1850,CP Senanayake,1991-1991,3,5,0,97,64,19.40,0,1,1,,SL
1851,LF Townsend,1930-1934,4,6,0,97,40,16.16,0,0,0,,ENG
1852,GD Varnals,1964-1965,3,6,0,97,23,16.16,0,0,0,,SA
1853,GD Watson,1966-1972,5,9,0,97,50,10.77,0,1,3,,AUS
1854,IDR Bradshaw,2006-2006,5,8,1,96,33,13.71,0,0,1,,WI
1855,R Clarke,2003-2003,2,3,0,96,55,32.00,0,1,0,,ENG
1856,DV Dyer,1947-1947,3,6,0,96,62,16.00,0,1,0,,SA
1857,PE McEwan,1980-1984,4,7,1,96,40*,16.00,0,0,1,,NZ
1858,G MacGregor,1890-1893,8,11,3,96,31,12.00,0,0,1,,ENG
1859,KMA Paul,2018-2019,3,6,0,96,47,16.00,0,0,1,,WI
1860,WV Rodriguez,1962-1968,5,7,0,96,50,13.71,0,1,1,,WI
1861,VH Stollmeyer,1939-1939,1,1,0,96,96,96.00,0,1,0,,WI
1862,B Warnapura,1982-1982,4,8,0,96,38,12.00,0,0,1,,SL
1863,KJ Abbott,2013-2017,11,14,0,95,17,6.78,0,0,4,,SA
1864,HDG Leveson Gower,1910-1910,3,6,2,95,31,23.75,0,0,0,,ENG
1865,RP Snell,1992-1994,5,8,1,95,48,13.57,0,0,1,,SA
1866,HK Badani,2001-2001,4,7,1,94,38,15.66,0,0,0,,IND
1867,T Kaitano,2021-2021,1,2,0,94,87,47.00,0,1,0,,ZIM
1868,KS Lokuarachchi,2003-2004,4,5,1,94,28*,23.50,0,0,0,,SL
1869,Hon.A Lyttelton,1880-1884,4,7,1,94,31,15.66,0,0,0,,ENG
1870,K Thomson,1968-1968,2,4,1,94,69,31.33,0,1,1,,NZ
1871,T Thushara,2003-2010,10,14,3,94,15*,8.54,0,0,3,,SL
1872,DJ Vilas,2015-2016,6,9,0,94,26,10.44,0,0,0,,SA
1873,AS Wassan,1990-1990,4,5,1,94,53,23.50,0,1,1,,IND
1874,Yasir Arafat,2007-2009,3,3,1,94,50*,47.00,0,1,1,,PAK
1875,Asif Masood,1969-1977,16,19,10,93,30*,10.33,0,0,5,,PAK
1876,MRCN Bandaratilleke,1998-2001,7,9,1,93,25,11.62,0,0,1,,SL
1877,OD Gibson,1995-1999,2,4,0,93,37,23.25,0,0,0,,WI
1878,J Hunter,1884-1885,5,7,2,93,39*,18.60,0,0,0,,ENG
1879,AS Kennedy,1922-1923,5,8,2,93,41*,15.50,0,0,1,,ENG
1880,PI Philpott,1965-1966,8,10,1,93,22,10.33,0,0,0,,AUS
1881,BA Reid,1985-1992,27,34,14,93,13,4.65,0,0,6,,AUS
1882,G Bean,1892-1892,3,5,0,92,50,18.40,0,1,0,,ENG
1883,AG Milkha Singh,1960-1961,4,6,0,92,35,15.33,0,0,0,,IND
1884,SD Anurasiri,1986-1998,18,22,5,91,24,5.35,0,0,3,,SL
1885,JG Binks,1964-1964,2,4,0,91,55,22.75,0,1,0,,ENG
1886,CE Eksteen,1993-2000,7,11,2,91,22,10.11,0,0,1,,SA
1887,HC Griffith,1928-1933,13,23,5,91,18,5.05,0,0,6,,WI
1888,R Pilling,1881-1888,8,13,1,91,23,7.58,0,0,1,,ENG
1889,AK Roy,1969-1969,4,7,0,91,48,13.00,0,0,2,,IND
1890,Al-Amin Hossain,2013-2019,7,11,7,90,32*,22.50,0,0,0,,BAN
1891,T Campbell,1910-1912,5,9,3,90,48,15.00,0,0,1,,SA
1892,TL Chatara,2013-2018,9,16,2,90,22,6.42,0,0,5,,ZIM
1893,J Cowie,1937-1949,9,13,4,90,45,10.00,0,0,3,,NZ
1894,KM Dabengwa,2005-2005,3,6,0,90,35,15.00,0,0,1,,ZIM
1895,TN Madondo,1998-2000,3,4,1,90,74*,30.00,0,1,1,,ZIM
1896,NA Quinn,1929-1932,12,18,3,90,28,6.00,0,0,1,,SA
1897,BG Rogers,2005-2005,4,8,0,90,29,11.25,0,0,2,,ZIM
1898,GR Hazlitt,1907-1912,9,12,4,89,34*,11.12,0,0,2,,AUS
1899,WG Jacks,2022-2022,2,4,0,89,31,22.25,0,0,0,,ENG
1900,G Kishenchand,1947-1952,5,10,0,89,44,8.90,0,0,5,,IND
1901,RN Lewis,1997-2008,5,10,0,89,40,8.90,0,0,4,,WI
1902,PP Ojha,2009-2013,24,27,17,89,18*,8.90,0,0,4,,IND
1903,NM Parker,1976-1976,3,6,0,89,40,14.83,0,0,0,,NZ
1904,Shoriful Islam,2021-2023,9,14,2,89,26,7.41,0,0,3,,BAN
1905,Tushar Imran,2002-2007,5,10,0,89,28,8.90,0,0,3,,BAN
1906,Ariful Haque,2018-2018,2,4,1,88,41*,29.33,0,0,0,,BAN
1907,KIC Asalanka,2021-2022,3,6,0,88,29,14.66,0,0,0,,SL
1908,CK Coventry,2005-2005,2,4,0,88,37,22.00,0,0,0,,ZIM
1909,SMS Kaluperuma,1984-1988,4,8,0,88,23,11.00,0,0,1,,SL
1910,M Kartik,2000-2004,8,10,1,88,43,9.77,0,0,2,,IND
1911,TR McKibbin,1895-1898,5,8,2,88,28*,14.66,0,0,2,,AUS
1912,SW Masakadza,2012-2014,5,9,1,88,24,11.00,0,0,3,,ZIM
1913,AN Ranasinghe,1982-1982,2,4,0,88,77,22.00,0,1,1,,SL
1914,Sajid Khan,2021-2024,8,9,0,88,21,9.77,0,0,1,,PAK
1915,Shabbir Ahmed,2003-2005,10,15,5,88,24*,8.80,0,0,4,,PAK
1916,Zulqarnain Haider,2010-2010,1,2,0,88,88,44.00,0,1,1,,PAK
1917,ST Callaway,1892-1895,3,6,1,87,41,17.40,0,0,1,,AUS
1918,TJ Laughlin,1978-1978,3,5,0,87,35,17.40,0,0,0,,AUS
1919,MP Maynard,1988-1994,4,8,0,87,35,10.87,0,0,2,,ENG
1920,D Ranatunga,1989-1989,2,3,0,87,45,29.00,0,0,0,,SL
1921,ET Smith,2003-2003,3,5,0,87,64,17.40,0,1,2,,ENG
1922,AB Tancred,1889-1889,2,4,1,87,29,29.00,0,0,0,,SA
1923,GD Elliott,2008-2009,5,9,1,86,25,10.75,0,0,1,,NZ
1924,EG Hayes,1906-1912,5,9,1,86,35,10.75,0,0,2,,ENG
1925,ND Howard,1951-1952,4,6,1,86,23,17.20,0,0,0,,ENG
1926,RC Irani,1996-1999,3,5,0,86,41,17.20,0,0,0,,ENG
1927,JDA O'Connor,1908-1909,4,8,1,86,20,12.28,0,0,0,,AUS
1928,SNJ O'Keefe,2014-2017,9,13,4,86,25,9.55,0,0,2,,AUS
1929,JR Gunn,1901-1905,6,10,2,85,24,10.62,0,0,1,,ENG
1930,CBRLS Kumara,2016-2023,26,36,17,85,13*,4.47,0,0,11,,SL
1931,Mohammad Farooq,1960-1965,7,9,4,85,47,17.00,0,0,1,,PAK
1932,SG Shinde,1946-1952,7,11,5,85,14,14.16,0,0,0,,IND
1933,D Taylor,1914-1914,2,4,0,85,36,21.25,0,0,0,,SA
1934,DJ Colley,1972-1972,3,4,0,84,54,21.00,0,1,0,,AUS
1935,LA Dawson,2016-2017,3,6,2,84,66*,21.00,0,1,3,,ENG
1936,RR Jumadeen,1972-1979,12,14,10,84,56,21.00,0,1,2,,WI
1937,Yuvraj of Patiala,1934-1934,1,2,0,84,60,42.00,0,1,0,,IND
1938,MA Seymour,1963-1970,7,10,3,84,36,12.00,0,0,3,,SA
1939,U Afzaal,2001-2001,3,6,1,83,54,16.60,0,1,0,,ENG
1940,Amir Hamza,2019-2023,4,6,2,83,34,20.75,0,0,0,,AFG
1941,W Barber,1935-1935,2,4,0,83,44,20.75,0,0,0,,ENG
1942,J Botha,2006-2010,5,6,2,83,25,20.75,0,0,0,,SA
1943,DT Hondo,2001-2005,9,15,6,83,19,9.22,0,0,1,,ZIM
1944,D Pretorius,2019-2020,3,6,0,83,37,13.83,0,0,1,,SA
1945,SW Sohoni,1946-1951,4,7,2,83,29*,16.60,0,0,0,,IND
1946,JG Thomas,1986-1986,5,10,4,83,31*,13.83,0,0,3,,ENG
1947,Amir Elahi,1947-1952,6,9,1,82,47,10.25,0,0,1,,IND/PAK
1948,E Evans,1881-1886,6,10,2,82,33,10.25,0,0,3,,AUS
1949,B Mavuta,2018-2023,4,7,0,82,56,11.71,0,1,2,,ZIM
1950,TS Roland-Jones,2017-2017,4,6,2,82,25,20.50,0,0,0,,ENG
1951,M Zondeki,2003-2008,6,5,0,82,59,16.40,0,1,1,,SA
1952,EE Achong,1930-1935,6,11,1,81,22,8.10,0,0,2,,WI
1953,Rehan Ahmed,2022-2024,3,6,0,81,28,13.50,0,0,0,,ENG
1954,JH de Courcy,1953-1953,3,6,1,81,41,16.20,0,0,0,,AUS
1955,GN Francis,1928-1933,10,18,4,81,19*,5.78,0,0,4,,WI
1956,RA Hamence,1947-1948,3,4,1,81,30*,27.00,0,0,0,,AUS
1957,ET Killick,1929-1929,2,4,0,81,31,20.25,0,0,0,,ENG
1958,AE Knight,1904-1904,3,6,1,81,70*,16.20,0,1,3,,ENG
1959,SI Mahmood,2006-2007,8,11,1,81,34,8.10,0,0,3,,ENG
1960,Manjural Islam,2001-2004,17,33,11,81,21,3.68,0,0,10,,BAN
1961,IL Mendonca,1962-1962,2,2,0,81,78,40.50,0,1,0,,WI
1962,WN Slack,1986-1986,3,6,0,81,52,13.50,0,1,2,,ENG
1963,JE Barrett,1890-1890,2,4,1,80,67*,26.66,0,1,1,,AUS
1964,T Duffin,2005-2005,2,4,0,80,56,20.00,0,1,0,,ZIM
1965,AEV Hartkopf,1925-1925,1,2,0,80,80,40.00,0,1,1,,AUS
1966,JM Kemp,2001-2005,4,6,0,80,55,13.33,0,1,2,,SA
1967,RD Parkar,1972-1973,2,4,0,80,35,20.00,0,0,0,,IND
1968,DJ Sincock,1964-1966,3,4,1,80,29,26.66,0,0,0,,AUS
1969,DM Smith,1986-1986,2,4,0,80,47,20.00,0,0,1,,ENG
1970,A Wood,1938-1939,4,5,1,80,53,20.00,0,1,1,,ENG
1971,TM Chappell,1981-1981,3,6,1,79,27,15.80,0,0,0,,AUS
1972,JA Maclean,1978-1979,4,8,1,79,33*,11.28,0,0,2,,AUS
1973,JA Small,1928-1930,3,6,0,79,52,13.16,0,1,2,,WI
1974,A Fielder,1904-1908,6,12,5,78,20,11.14,0,0,0,,ENG
1975,Ishan Kishan,2023-2023,2,3,2,78,52*,78.00,0,1,0,,IND
1976,MN Lathwell,1993-1993,2,4,0,78,33,19.50,0,0,1,,ENG
1977,RAL Massie,1972-1973,6,8,1,78,42,11.14,0,0,3,,AUS
1978,SF Mire,2017-2017,2,4,0,78,47,19.50,0,0,1,,ZIM
1979,Noor Ali Zadran,2024-2024,1,2,0,78,47,39.00,0,0,0,,AFG
1980,P Bhandari,1955-1956,3,4,0,77,39,19.25,0,0,0,,IND
1981,A Greenwood,1877-1877,2,4,0,77,49,19.25,0,0,0,,ENG
1982,A Nehra,1999-2004,17,25,11,77,19,5.50,0,0,10,,IND
1983,ASA Perera,1998-2001,3,4,1,77,43*,25.66,0,0,0,,SL
1984,Shahadat Hossain,2023-2023,2,4,0,77,31,19.25,0,0,0,,3
1985,JN Shepherd,1969-1971,5,8,0,77,32,9.62,0,0,2,,WI
1986,DCH Townsend,1935-1935,3,6,0,77,36,12.83,0,0,0,,ENG
1987,Ata-ur-Rehman,1992-1996,13,15,6,76,19,8.44,0,0,3,,PAK
1988,IG Butler,2002-2004,8,10,2,76,26,9.50,0,0,2,,NZ
1989,GHG Doggart,1950-1950,2,4,0,76,29,19.00,0,0,1,,ENG
1990,B Dooland,1947-1948,3,5,1,76,29,19.00,0,0,0,,AUS
1991,A D'Souza,1959-1962,6,10,8,76,23*,38.00,0,0,0,,PAK
1992,MR Gillespie,2007-2012,5,8,1,76,27,10.85,0,0,3,,NZ
1993,PJ Loader,1954-1959,13,19,6,76,17,5.84,0,0,3,,ENG
1994,LC Mayne,1965-1970,6,11,3,76,13,9.50,0,0,1,,AUS
1995,F Nicholson,1935-1936,4,8,1,76,29,10.85,0,0,4,,SA
1996,RM Poore,1896-1896,3,6,0,76,20,12.66,0,0,0,,SA
1997,DW Allan,1962-1966,5,7,1,75,40*,12.50,0,0,0,,WI
1998,H Donnan,1892-1896,5,10,1,75,15,8.33,0,0,1,,AUS
1999,MK Elgie,1961-1962,3,6,0,75,56,12.50,0,1,2,,SA
2000,JT Ward,1964-1968,8,12,6,75,35*,12.50,0,0,2,,NZ
2001,D Wilson,1964-1971,6,7,1,75,42,12.50,0,0,0,,ENG
2002,JER Gallian,1995-1995,3,6,0,74,28,12.33,0,0,2,,ENG
2003,AG Huckle,1997-1998,8,14,3,74,28*,6.72,0,0,7,,ZIM
2004,HH Kanitkar,1999-2000,2,4,0,74,45,18.50,0,0,0,,IND
2005,A Maregwede,2004-2004,2,4,0,74,28,18.50,0,0,1,,ZIM
2006,BP Martin,2013-2013,5,6,1,74,41,14.80,0,0,1,,NZ
2007,NO Perry,1999-1999,4,7,1,74,26,12.33,0,0,2,,WI
2008,Shakeel Ahmed jnr,1993-1995,3,5,0,74,33,14.80,0,0,1,,PAK
2009,ET Willett,1973-1975,5,8,3,74,26,14.80,0,0,2,,WI
2010,Bilal Asif,2018-2018,5,8,0,73,15,9.12,0,0,2,,PAK
2011,JA Hayes,1951-1958,15,22,7,73,19,4.86,0,0,4,,NZ
2012,NGRP Jayasuriya,2022-2024,10,14,0,73,16,5.21,0,0,2,,SL
2013,WE Merritt,1930-1931,6,8,1,73,19,10.42,0,0,1,,NZ
2014,JT Partridge,1963-1965,11,12,5,73,13*,10.42,0,0,0,,SA
2015,EWT Tindill,1937-1947,5,9,1,73,37*,9.12,0,0,1,,NZ
2016,ERH Toshack,1946-1948,12,11,6,73,20*,14.60,0,0,1,,AUS
2017,HE Dollery,1947-1950,4,7,0,72,37,10.28,0,0,2,,ENG
2018,S Elworthy,1998-2002,4,5,1,72,48,18.00,0,0,0,,SA
2019,KO Meth,2013-2013,2,4,1,72,31*,24.00,0,0,0,,ZIM
2020,WJ Pucovski,2021-2021,1,2,0,72,62,36.00,0,1,0,,AUS
2021,TW Routledge,1892-1896,4,8,0,72,24,9.00,0,0,1,,SA
2022,A Sanford,2002-2004,11,17,2,72,18*,4.80,0,0,2,,WI
2023,EG Wynyard,1896-1906,3,6,0,72,30,12.00,0,0,2,,ENG
